timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,num_doors,ext_condition,int_condition,drive_type
1584031943,15000,1990,Porsche,944,Convertible,154860.0,Clean Title,Salt Lake City,UT,Owner,S2,silver,blue,Manual,,4.0,Gasoline,2.0,Very Good,Very Good,
1584031939,48680,2016,GMC,2500,Truck,35731.0,,Pinedale,WY,Dealer,SLT,quicksilver metallic,jet black,Automatic,6.6,8.0,Diesel,4.0,,,4-Wheel Drive
1584031927,33980,2016,Ram,1500,Truck,39329.0,,Pinedale,WY,Dealer,Rebel,flame red clearcoat,red/black,Automatic,5.7,8.0,Gasoline,4.0,,,4-Wheel Drive
1584031917,26995,2016,Jeep,Wrangler,Sport Utility,26609.0,Clean Title,Tremonton,UT,Dealer,Sport,granite crystal metallic clearcoat,black,Automatic,,6.0,Gasoline,,,,4-Wheel Drive
1584031906,19999,2013,Land Rover,Range Rover Sport,Sport Utility,87511.0,Clean Title,American Fork,UT,Dealer,HSE LUX,fuji white,ivory/lunar alcantara(r) leather interior,Automatic,,8.0,Gasoline,,,,4-Wheel Drive
1584031896,11495,2011,Jeep,Grand Cherokee,Sport Utility,109481.0,,South Jordan,UT,Dealer,Laredo,black,dark graystone/medium graystone,Automatic,,6.0,Flex Fuel,4.0,,,4-Wheel Drive
1584031893,4500,2008,Subaru,Legacy,Sedan,89000.0,Rebuilt/Reconstructed Title,Murray,UT,Dealer,2.5i Limited,blue,tan,,,4.0,Gasoline,4.0,Very Good,Very Good,AWD
1584031886,20750,2019,Jeep,Compass,Sport Utility,15061.0,Clean Title,Bountiful,UT,Dealer,Trailhawk,silver,black,Automatic,,4.0,Gasoline,,,,4-Wheel Drive
1584031865,9000,2003,Ford,F-250,Truck,180917.0,,Salt Lake City,UT,Dealer,,blue,medium flint,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive
1584031855,4999,1999,Ford,F-150,Truck,152055.0,Clean Title,American Fork,UT,Dealer,XLT,bright red clearcoat,dark graphite cloth,Automatic,,8.0,Gasoline,,,,4-Wheel Drive
1584031845,20000,2014,Ram,1500,Truck,95908.0,,Salt Lake City,UT,Dealer,Longhorn Limited,black,black,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive
1584031835,9295,2013,Hyundai,Sonata,Sedan,63090.0,,South Jordan,UT,Dealer,Limited,blue,gray,Automatic,,4.0,Gasoline,4.0,,,
1584031830,7250,2004,Ford,F-150,Truck,104500.0,Clean Title,Millcreek,UT,Dealer,XLT,red,gray,Automatic,,8.0,Gasoline,,Very Good,Very Good,4-Wheel Drive
