timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584384850,28675,2015,Ford,F-150,Truck,26577,,Hollister,ID,Dealer,XLT,silver,black,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,33
1584384855,18900,2012,Ford,F-150,Truck,104000,Clean Title,Spanish Fork,UT,Owner,Lariat,silver,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,3
1584384895,11995,2008,Toyota,Tacoma,Truck,179732,Clean Title,North Salt Lake,UT,Dealer,TRD Off Road,,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,14
1584384910,3295,2000,Chevrolet,Silverado 1500,Truck,218395,Clean Title,Roy,UT,Dealer,,white,gray,Automatic,,8.0,Gasoline,3.0,Very Good,Very Good,4-Wheel Drive,9
1584384960,4100,2002,GMC,1500,SUV,177133,Clean Title,Spanish Fork,UT,Owner,,white,tan,Automatic,5.3,8.0,Gasoline,4.0,Good,,4-Wheel Drive,7
1584384988,14988,2008,Isuzu,NPR,Truck,152138,,Boise,ID,Dealer,,white,,Automatic,,4.0,Diesel,,,,RWD,19
1584384994,14999,2015,Kia,Optima,Sedan,49600,Clean Title,Herriman,UT,Owner,SX Turbo,white,black,Automanual,2.0,4.0,Gasoline,4.0,Very Good,Excellent,FWD,16
1584385046,27500,2017,Acura,MDX,Sport Utility,34370,,Salt Lake City,UT,Dealer,with Advance Package,gray,graystone,Automatic,,6.0,Gasoline,4.0,,,AWD,74
1584385133,3500,2010,Hyundai,Sonata,Sedan,132000,Clean Title,Highland,UT,Owner,,white,beige,Automanual,,4.0,Gasoline,4.0,Excellent,Excellent,,18
1584385263,1895,1998,Honda,Passport,Sport Utility,215094,Clean Title,North Logan,UT,Dealer,EX,,,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,8
1584385392,19992,2013,Ram,1500,Truck,72487,,Rock Springs,WY,Dealer,Big Horn,deep cherry red crystal pearl,,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,0
1584385392,30433,2016,Ford,F-150,Truck,89813,,Rock Springs,WY,Dealer,,ingot silver metallic,black,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,0
1584385393,34244,2018,Jeep,Grand Cherokee,Sport Utility,52936,,Rock Springs,WY,Dealer,Trailhawk,redline 2 coat pearl,,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,0
1584385418,13999,2008,GMC,3500,Truck,203881,Clean Title,North Logan,UT,Dealer,SLE,,,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,5
1584385425,2495,2010,Chevrolet,HHR,Hatchback,118000,Rebuilt/Reconstructed Title,Sunset,UT,Dealer,LT,black,black,Automatic,,4.0,Flex Fuel,5.0,Excellent,Excellent,FWD,8
1584385430,40225,2015,Ram,2500,Truck,5620,,Rock Springs,WY,Dealer,Laramie,blue streak pearl coat,black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,0
1584385456,40299,2018,GMC,1500,Truck,28500,Clean Title,Burley,ID,Owner,SLT,black,black,Automatic,,8.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,8
1584385466,20000,2008,Ford,F-350,Truck,84000,Clean Title,Santaquin,UT,Owner,Lariat,black,tan,Automatic,,8.0,Diesel,4.0,Excellent,Excellent,4-Wheel Drive,5
1584385511,89000,2019,Porsche,Boxster,Convertible,14,,Lehi,UT,Dealer,GTS,jet black metallic,black/chalk,Automatic,,4.0,Gasoline,2.0,,,RWD,21
1584385544,13000,2014,Ford,Explorer,Sport Utility,132000,Clean Title,Stansbury Park,UT,Owner,Limited,black,brown,Automanual,,6.0,Gasoline,4.0,Good,Good,AWD,5
1584385602,18995,2014,Ford,Expedition EL,Sport Utility,105996,,Boise,ID,Dealer,Limited,tuxedo black metallic,charcoal black,Automatic,,8.0,Flex Fuel,,,,4-Wheel Drive,0
