timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584382663,3500,2003,Subaru,Legacy,Wagon,145727,Clean Title,North Logan,UT,Dealer,2.5i,,,Automatic,,4.0,Gasoline,4.0,,,AWD,4
1584382668,4995,2010,Jeep,Compass,Sport Utility,116000,Clean Title,Midvale,UT,Dealer,Latitude,silver,gray,Manual,,4.0,Gasoline,,Excellent,Excellent,FWD,18
1584382685,3995,2006,Volkswagen,Touareg,Sport Utility,178000,Clean Title,Midvale,UT,Dealer,VR6,green,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,AWD,22
1584382698,3895,2012,Mitsubishi,Galant,Sedan,164000,Clean Title,Midvale,UT,Dealer,FE,silver,gray,Automatic,,4.0,Gasoline,4.0,Very Good,Excellent,FWD,20
1584382721,2295,2005,Volkswagen,Jetta,Sedan,172000,Clean Title,Midvale,UT,Dealer,SE,gray,gray,Automatic,,5.0,Gasoline,2.0,Very Good,Very Good,FWD,20
1584382743,3295,2006,Ford,Mustang,Coupe,168000,Clean Title,Midvale,UT,Dealer,Deluxe,silver,gray,Automatic,,6.0,Gasoline,2.0,Very Good,Very Good,RWD,14
1584382753,9000,2010,Chevrolet,Traverse,Crossover,176963,Clean Title,St. George,UT,Owner,LTZ,silver,gray,Automanual,,6.0,Gasoline,4.0,Very Good,Very Good,FWD,13
1584382758,2495,2005,Ford,Focus,Sedan,146000,Clean Title,Midvale,UT,Dealer,SE,silver,beige,Automatic,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,14
1584382779,6495,2012,Dodge,Charger,Sedan,156000,Clean Title,Midvale,UT,Dealer,SXT,silver,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,RWD,26
1584382795,1495,1997,Buick,Park Avenue,Sedan,197000,Clean Title,Midvale,UT,Dealer,SG,red,gray,Automatic,,6.0,Gasoline,4.0,Good,Very Good,FWD,14
1584382809,6495,2012,Buick,LaCrosse,Sedan,136600,Clean Title,Midvale,UT,Dealer,CXL,white,gray,Automatic,,6.0,Flex Fuel,4.0,Very Good,Very Good,FWD,23
1584382824,4995,2013,Dodge,Avenger,Sedan,157000,Clean Title,Midvale,UT,Dealer,SE,blue,black,Automatic,,6.0,Flex Fuel,4.0,Excellent,Excellent,FWD,21
1584382839,2795,2001,Acura,MDX,Sport Utility,202000,Clean Title,Midvale,UT,Dealer,Touring Pkg,red,tan,Automatic,,6.0,Gasoline,4.0,Very Good,Good,AWD,25
1584382869,4995,2009,Nissan,Altima,Sedan,152000,Clean Title,Midvale,UT,Dealer,2.5,white,gray,Automatic,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,24
1584382875,13895,2017,Ford,Fusion,Sedan,31578,Clean Title,Orem,UT,Dealer,SE,black,black,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,FWD,11
1584382898,70000,2017,Mercedes-Benz,GLE-Class,Crossover,35000,Clean Title,Salt Lake City,UT,Owner,AMG GLE 63 S,white,brown,Automatic,,8.0,Gasoline,4.0,Very Good,Excellent,AWD,5
1584382925,20995,2019,Jeep,Compass,Sport Utility,22297,Clean Title,Huntington,UT,Dealer,Limited,white,black,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,35
1584382991,9000,1988,Chevrolet,Corvette,Hatchback,105000,Clean Title,Elk Ridge,UT,Owner,,red,black,Manual,,8.0,Gasoline,2.0,Excellent,Very Good,RWD,9
1584383001,1350,2004,Ford,Freestar,Minivan,157963,Clean Title,Smithfield,UT,Dealer,SE,brown,tan,Automatic,,6.0,Gasoline,5.0,Good,Very Good,FWD,25
1584383005,13987,2007,Toyota,FJ Cruiser,Sport Utility,119922,Clean Title,Draper,UT,Dealer,,,int_color,,,6.0,Gasoline,,,,4-Wheel Drive,13
1584383071,28804,2016,Ford,F-150,Truck,56812,,St. George,UT,Dealer,XLT,ingot silver metallic,medium earth gray,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,26
