,timestamp,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics,views,favorites,workingURL,view_rate,favorite_rate,fav_per_view
100,1584388397,1584570092,https://cars.ksl.com/listing/6312749,1000,1998,Ford,Crown Victoria,Sedan,117911,Clean Title,Draper,UT,Owner,,,,Automatic,,8.0,Gasoline,4.0,,,RWD,7,,,0,,,
101,1584388396,1584570092,https://cars.ksl.com/listing/6226966,12499,2013,Ford,Edge,Sport Utility,72818,,Salt Lake City,UT,Dealer,SE,black,charcoal black,Automatic,,4.0,Gasoline,4.0,,,FWD,19,,,0,,,
102,1584388342,1584570093,https://cars.ksl.com/listing/6312747,30000,2016,Volkswagen,Golf R,Hatchback,38334,Clean Title,Draper,UT,Owner,,black,black,Automanual,,4.0,Gasoline,5.0,Excellent,Excellent,AWD,18,48.0,0.0,1,22.818031262551514,0.0,0.0
103,1584388333,1584570094,https://cars.ksl.com/listing/6312746,1000,1998,Ford,Taurus,Sedan,241293,Clean Title,Tremonton,UT,Owner,,white,gray,Automatic,,6.0,Gasoline,4.0,Fair,Good,FWD,3,44.0,2.0,1,20.915377886345254,0.9506989948338752,0.045454545454545456
104,1584388311,1584570094,https://cars.ksl.com/listing/6312744,10795,2011,Nissan,Armada,Sport Utility,90000,Rebuilt/Reconstructed Title,Provo,UT,Dealer,Platinum,white,gray,Automatic,,8.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,39,61.0,5.0,1,28.99281010875604,2.376459844980004,0.08196721311475409
105,1584388249,1584570096,https://cars.ksl.com/listing/6312742,1700,2003,Subaru,Impreza,Wagon,177000,Clean Title,Lehi,UT,Owner,WRX,silver,silver,Manual,2.0,4.0,Gasoline,4.0,Good,Very Good,AWD,16,,,0,,,
106,1584388230,1584570098,https://cars.ksl.com/listing/5570636,21995,2015,BMW,3 Series,Hatchback,22637,Clean Title,American Fork,UT,Dealer,328i xDrive,silver,black,Automatic,,4.0,Gasoline,4.0,,,AWD,30,2411.0,25.0,1,1145.393362218752,11.876745771658564,0.010369141435089175
107,1584388214,1584570098,https://cars.ksl.com/listing/6312741,3150,2005,Pontiac,Grand Prix,Sedan,132807,,Taylorsville,UT,Owner,GTP,gray,black,Automatic,,6.0,Gasoline,4.0,Good,Good,FWD,10,29.0,1.0,1,13.77581315563766,0.47502803984957453,0.034482758620689655
108,1584388175,1584570100,https://cars.ksl.com/listing/5515497,32995,2016,Ford,F-150,Truck,102306,Clean Title,Idaho Falls,ID,Dealer,Lariat,black,black,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,28,183.0,1.0,1,86.9105400577161,0.47492098392194587,0.00546448087431694
109,1584388145,1584570101,https://cars.ksl.com/listing/6312740,26588,2015,Chevrolet,Silverado 1500,Truck,72500,,American Fork,UT,Dealer,LT,brownstone metallic,jet black,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,1,3.0,0.0,1,1.424520213678032,0.0,0.0
110,1584388141,1584570103,https://cars.ksl.com/listing/6312739,25079,2016,Ford,Edge,Sport Utility,32857,,American Fork,UT,Dealer,Sport,orange,ebony,Automatic,,6.0,Gasoline,4.0,,,AWD,1,3.0,0.0,1,1.4244732416658425,0.0,0.0
111,1584388138,1584570104,https://cars.ksl.com/listing/6312738,23441,2014,Ford,F-150,Truck,98516,,American Fork,UT,Dealer,FX4,maroon,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1,10.0,0.0,1,4.7481397623731905,0.0,0.0
112,1584388130,1584570105,https://cars.ksl.com/listing/6312737,31479,2015,Toyota,4Runner,Sport Utility,56460,,American Fork,UT,Dealer,Limited,gray,,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,22,39.0,0.0,1,18.516829234784996,0.0,0.0
113,1584388120,1584570105,https://cars.ksl.com/listing/6269393,12900,2013,Ford,Flex,Sport Utility,74339,Rebuilt/Reconstructed Title,West Haven,UT,Owner,Limited EcoBoost,red,black,Automatic,,6.0,Gasoline,5.0,Very Good,Very Good,AWD,9,244.0,11.0,1,115.8425144929527,5.222408440256065,0.045081967213114756
114,1584388110,1584570107,https://cars.ksl.com/listing/6271884,6997,2016,Chevrolet,Impala,Sedan,92042,Clean Title,Midvale,UT,Dealer,LT,silver,black,Automatic,,6.0,Gasoline,4.0,Very Good,Very Good,FWD,15,27.0,2.0,1,12.817793699896153,0.9494661999923076,0.07407407407407407
115,1584388102,1584570109,https://cars.ksl.com/listing/6312736,14900,2019,Volkswagen,Jetta,Sedan,16700,Clean Title,West Jordan,UT,Owner,1.4T S,other,black,Manual,1.4,4.0,Gasoline,4.0,Excellent,Excellent,FWD,9,28.0,1.0,1,13.291796469366563,0.47470701676309146,0.03571428571428571
116,1584388090,1584570111,https://cars.ksl.com/listing/6312735,3500,2007,Nissan,Xterra,SUV,182000,Clean Title,Syracuse,UT,Owner,Off Road,gray,black,Automatic,,6.0,Gasoline,4.0,Very Good,Good,4-Wheel Drive,14,93.0,8.0,1,44.144356969800185,3.797364040412919,0.08602150537634409
117,1584388075,1584570113,https://cars.ksl.com/listing/6312734,7990,2014,Dodge,Grand Caravan,Minivan,75990,Rebuilt/Reconstructed Title,Murray,UT,Dealer,SXT,white,black,Automatic,,6.0,Flex Fuel,4.0,Excellent,Excellent,FWD,17,29.0,2.0,1,13.764159131609881,0.9492523539041298,0.06896551724137931
118,1584388064,1584570113,https://cars.ksl.com/listing/6312733,7900,2011,GMC,3500,Truck,6480,Rebuilt/Reconstructed Title,North Salt Lake,UT,Dealer,SLT,green,black,Automatic,,8.0,Diesel,4.0,Good,Fair,4-Wheel Drive,3,135.0,1.0,1,64.0706622942175,0.4745974984756851,0.007407407407407408
119,1584388033,1584570115,https://cars.ksl.com/listing/6312732,1500,2002,Chrysler,PT Cruiser,Truck,194000,Clean Title,Lewiston,UT,Owner,,,,,,4.0,Gasoline,,,,FWD,12,37.0,3.0,1,17.556924901967246,1.423534451510858,0.08108108108108109
120,1584387991,1584570116,https://cars.ksl.com/listing/6312729,22500,2012,Ford,F-150,Truck,42555,Clean Title,Herriman,UT,Owner,,,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,6,67.0,0.0,1,31.784763212079618,0.0,0.0
121,1584387845,1584570118,https://cars.ksl.com/listing/6312727,15163,2014,Nissan,Xterra,Sport Utility,120731,,West Valley City,UT,Dealer,S,metallic blue,gray,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,21,6.0,0.0,1,2.844085520071541,0.0,0.0
122,1584387843,1584570119,https://cars.ksl.com/listing/5696067,11990,2017,Volkswagen,Jetta,Sedan,39247,Clean Title,Salt Lake City,UT,Dealer,1.4T S,off white,gray,Automatic,,4.0,Gasoline,4.0,,,,38,1303.0,41.0,1,617.6304066360904,19.43426452193377,0.031465848042977744
123,1584387830,1584570121,https://cars.ksl.com/listing/6312726,13182,2016,Jeep,Compass,Sport Utility,71685,,West Valley City,UT,Dealer,Sport,true blue pearlcoat,dark slate gray,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,21,2.0,0.0,1,0.9479348953047599,0.0,0.0
