post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584803545,https://cars.ksl.com/listing/6145319,7749,2012,Ford,Transit Connect,Wagon,103540.0,,Morgan,UT,Dealer,XLT Premium,white,dark gray,Automatic,,4.0,Gasoline,4.0,,,,NM0KS9CN1CT081041,6
2020-03-21,1584803546,https://cars.ksl.com/listing/6175091,33450,2019,Audi,Q5,Sport Utility,14929.0,Clean Title,American Fork,UT,Dealer,Premium,white,black,Automatic,,4.0,Gasoline,,,,AWD,WA1ANAFY6K2123621,34
2020-03-21,1584803547,https://cars.ksl.com/listing/6175090,31950,2017,Audi,A6,Sedan,38742.0,Clean Title,American Fork,UT,Dealer,Prestige,white,black,Automatic,,6.0,Gasoline,,,,AWD,WAUH2AFC9HN000501,34
2020-03-21,1584803547,https://cars.ksl.com/listing/6175099,33450,2019,Audi,Q5,Sport Utility,13446.0,Clean Title,American Fork,UT,Dealer,Premium,white,black,Automatic,,4.0,Gasoline,,,,AWD,WA1ANAFY0K2119533,35
2020-03-21,1584803549,https://cars.ksl.com/listing/6205949,23950,2019,Toyota,RAV4,Sport Utility,17224.0,Clean Title,Bountiful,UT,Dealer,XLE,black,black,Automatic,,4.0,Gasoline,,,,4-Wheel Drive,2T3P1RFV9KC016975,30
2020-03-21,1584803551,https://cars.ksl.com/listing/6172581,49495,2015,Chevrolet,Silverado 3500HD,Truck,41144.0,,Logan,UT,Dealer,LTZ,white,jet black,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1GC4K0C83FF633501,63
2020-03-21,1584803552,https://cars.ksl.com/listing/6270503,23206,2012,Ram,1500,Truck,64049.0,,Salt Lake City,UT,Dealer,Laramie,bright white,dark slate gray,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,1C6RD7NT0CS258526,23
2020-03-21,1584803553,https://cars.ksl.com/listing/6205948,20750,2017,Kia,Sportage,Sport Utility,33602.0,Clean Title,Bountiful,UT,Dealer,SX Turbo,blue,black,Automatic,,4.0,Gasoline,,,,AWD,KNDPRCA65H7237319,32
2020-03-21,1584803554,https://cars.ksl.com/listing/6190720,17999,2019,Hyundai,Tucson,Sport Utility,28923.0,,Murray,UT,Dealer,SE,white,gray,Automatic,,4.0,Gasoline,4.0,,,AWD,KM8J2CA44KU875722,21
2020-03-21,1584803557,https://cars.ksl.com/listing/6160533,19983,2018,Jeep,Compass,Sport Utility,31178.0,,Brigham City,UT,Dealer,Trailhawk,silver,black,,,4.0,Gasoline,4.0,,,4-Wheel Drive,3C4NJDDB6JT451623,27
