post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584801239,https://cars.ksl.com/listing/6254264,16995,2019,Ford,Fusion,Sedan,17413,Clean Title,Orem,UT,Dealer,SEL,red,gray,Automatic,,4.0,Gasoline,4.0,,,FWD,3FA6P0CD5KR222904,37
2020-03-21,1584801241,https://cars.ksl.com/listing/5935370,1900,2006,Honda,Odyssey,Minivan,237986,Clean Title,Bountiful,UT,Dealer,,gray,gray,Automatic,,6.0,Gasoline,,,,FWD,5FNRL38816B026207,19
2020-03-21,1584801241,https://cars.ksl.com/listing/6324089,6363,2007,Chevrolet,Express Cargo Van,Van,141173,,Twin Falls,ID,Dealer,,white,medium pewter,Automatic,,8.0,Gasoline,3.0,,,RWD,1GCGG25V671198081,17
2020-03-21,1584801242,https://cars.ksl.com/listing/6106954,21595,2019,Mazda,Mazda3 Sedan,Sedan,3798,Clean Title,Murray,UT,Dealer,with Preferred Package,black,black,Automatic,,4.0,Gasoline,4.0,,,FWD,3MZBPADL1KM109143,20
2020-03-21,1584801243,https://cars.ksl.com/listing/6324088,14314,2017,Volkswagen,Passat,Sedan,29007,,Twin Falls,ID,Dealer,1.8T S,silver,,Automatic,,4.0,Gasoline,4.0,,,,1VWAT7A34HC051604,0
2020-03-21,1584801243,https://cars.ksl.com/listing/6254262,16595,2017,Subaru,Forester,Sport Utility,46665,Clean Title,Lehi,UT,Dealer,,gray,gray,Automatic,,4.0,Gasoline,4.0,,,AWD,JF2SJABC5HH405241,32
2020-03-21,1584801244,https://cars.ksl.com/listing/6276219,15250,2016,Mazda,Mazda6,Sedan,67200,Clean Title,Orem,UT,Owner,Grand Touring,blue,white,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,FWD,JM1GJ1W5XG1486275,17
2020-03-21,1584801246,https://cars.ksl.com/listing/6254261,18495,2017,Toyota,Sienna,Van,52706,Clean Title,Lehi,UT,Dealer,LE,blue,gray,Automatic,,6.0,Gasoline,4.0,,,FWD,5TDKZ3DC2HS799020,32
2020-03-21,1584801246,https://cars.ksl.com/listing/6220770,5750,2015,Fiat,500,Hatchback,64920,,Orem,UT,Dealer,Pop,rosso brillante (red tri-coat),nero (black),Manual,,4.0,Gasoline,2.0,,,,3C3CFFAR0FT527726,20
2020-03-21,1584801247,https://cars.ksl.com/listing/6324087,32495,2014,Chevrolet,Silverado 1500,Truck,62330,,Murray,UT,Dealer,High Country,brown,saddle,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,3GCUKTEJ2EG517690,0
